utterance, referenceTimestamp, intent, slot[recipe]
show the chocolate cake recipe,,ShowRecipeIntent,chocolate cake
pull up the banana bread recipe,,ShowRecipeIntent,banana bread
show me the recipe for lasagna,,ShowRecipeIntent,lasagna
get apple pie,,ShowRecipeIntent,apple pie
pull up spaghetti carbonara,,ShowRecipeIntent,spaghetti carbonara
how do I make chicken parmesan,,ShowRecipeIntent,chicken parmesan
I want to make beef stir fry,,ShowRecipeIntent,beef stir fry
can you show me how to make tiramisu,,ShowRecipeIntent,tiramisu
display the french toast recipe,,ShowRecipeIntent,french toast
find the recipe for beef tacos,,ShowRecipeIntent,beef tacos
give me the guacamole recipe,,ShowRecipeIntent,guacamole
I need the recipe for pizza dough,,ShowRecipeIntent,pizza dough
what's the recipe for mac and cheese,,ShowRecipeIntent,mac and cheese
could you show me chicken noodle soup,,ShowRecipeIntent,chicken noodle soup
help me make chocolate chip cookies,,ShowRecipeIntent,chocolate chip cookies
I'd like to cook beef stroganoff,,ShowRecipeIntent,beef stroganoff
show instructions for pancakes,,ShowRecipeIntent,pancakes
how to prepare meatloaf,,ShowRecipeIntent,meatloaf
open the garlic bread recipe,,ShowRecipeIntent,garlic bread
can I see the caesar salad recipe,,ShowRecipeIntent,caesar salad
tell me how to make chili con carne,,ShowRecipeIntent,chili con carne
display instructions for beef wellington,,ShowRecipeIntent,beef wellington
I want to cook pad thai,,ShowRecipeIntent,pad thai
show me how to prepare risotto,,ShowRecipeIntent,risotto
find chicken curry instructions,,ShowRecipeIntent,chicken curry
bring up the beef burger recipe,,ShowRecipeIntent,beef burger
let me see the ramen recipe,,ShowRecipeIntent,ramen
search for carrot cake recipe,,ShowRecipeIntent,carrot cake
look up mushroom soup,,ShowRecipeIntent,mushroom soup
fetch the recipe for shepherd's pie,,ShowRecipeIntent,shepherd's pie
